epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,456.104,0.49725,0.1435,0.14637,0.36878,1.03731,1,0.96656,0.975,0.83424,1,0.96656,0.975,0.96173,0.57534,0.07589,0.0224,0.28301,1.18913,0.0003368,0.0003368,0.0003368
86,462.573,0.48,0.13142,0.14242,0.34071,1.00587,0.99965,0.97222,0.975,0.83908,0.99965,0.97222,0.975,0.96179,0.58766,0.09281,0.02463,0.30391,1.20598,0.000317,0.000317,0.000317
87,467.64,0.47799,0.14186,0.13844,0.32744,1.01505,0.97219,0.97099,0.97417,0.81842,0.99825,0.97222,0.975,0.96179,0.64701,0.08968,0.0198,0.31934,1.25566,0.0002972,0.0002972,0.0002972
88,472.649,0.44818,0.13556,0.13369,0.32953,0.99842,0.99721,0.97222,0.975,0.83321,0.99721,0.97222,0.975,0.95831,0.58641,0.09029,0.02372,0.30283,1.21515,0.0002774,0.0002774,0.0002774
89,479.408,0.4479,0.1297,0.12522,0.32779,1.00429,0.97215,0.96976,0.97417,0.80198,0.99834,0.97222,0.975,0.95577,0.61007,0.09153,0.02241,0.30247,1.23024,0.0002576,0.0002576,0.0002576
90,484.338,0.45804,0.12629,0.12781,0.32871,1.0126,0.97213,0.96906,0.97417,0.82472,0.99972,0.97222,0.975,0.95831,0.55909,0.08113,0.01515,0.29773,1.19308,0.0002378,0.0002378,0.0002378
91,495.136,0.42085,0.11311,0.11303,0.29906,1.06305,0.97214,0.96941,0.97417,0.81489,0.99851,0.97222,0.975,0.95813,0.57376,0.08153,0.01664,0.31336,1.20488,0.000218,0.000218,0.000218
92,500.794,0.39735,0.10996,0.09508,0.27356,1.03714,0.96909,0.94444,0.9576,0.82388,0.99764,0.97222,0.975,0.96118,0.57568,0.09145,0.01623,0.31024,1.2146,0.0001982,0.0001982,0.0001982
93,506.651,0.38765,0.09441,0.09716,0.25808,1.00599,0.97221,0.97188,0.97417,0.83663,0.99869,0.97222,0.975,0.96126,0.54799,0.07941,0.02277,0.28642,1.19272,0.0001784,0.0001784,0.0001784
94,511.764,0.37344,0.08261,0.06938,0.24725,0.99867,1,0.968,0.975,0.837,1,0.968,0.975,0.96152,0.58448,0.07672,0.01354,0.2771,1.21373,0.0001586,0.0001586,0.0001586
95,516.806,0.35725,0.08268,0.07013,0.24589,0.96937,0.99673,0.97222,0.975,0.84189,0.99673,0.97222,0.975,0.96205,0.56553,0.07538,0.0146,0.27181,1.19778,0.0001388,0.0001388,0.0001388
96,522.23,0.34666,0.08455,0.07654,0.24122,0.98938,0.99613,0.97222,0.975,0.83467,0.99613,0.97222,0.975,0.96231,0.60734,0.07787,0.01212,0.28924,1.22662,0.000119,0.000119,0.000119
97,528.265,0.34874,0.0852,0.06752,0.23995,0.97897,0.99677,0.97222,0.975,0.82869,0.99677,0.97222,0.975,0.96231,0.57995,0.07574,0.01163,0.26469,1.20164,9.92e-05,9.92e-05,9.92e-05
98,534.479,0.33691,0.0749,0.07927,0.23848,0.98649,0.99445,0.97222,0.975,0.83352,0.99445,0.97222,0.975,0.96226,0.58176,0.0756,0.01083,0.26275,1.21143,7.94e-05,7.94e-05,7.94e-05
99,540.17,0.33859,0.07887,0.07753,0.24594,0.98253,0.99414,0.97222,0.975,0.83945,0.99414,0.97222,0.975,0.96226,0.58197,0.07428,0.01093,0.26995,1.21427,5.96e-05,5.96e-05,5.96e-05
100,546.383,0.3228,0.07236,0.07193,0.22983,0.96176,0.99352,0.97222,0.975,0.84271,0.99352,0.97222,0.975,0.96226,0.57973,0.07213,0.01051,0.27039,1.20573,3.98e-05,3.98e-05,3.98e-05
